,name,parents
0,degree0,all
1,degree-1,all
2,degree1,all
3,degree6,all
4,degree2,all
5,degree3,all
6,degree5,all
7,degree7,all
8,degree4,all
9,degree8,all
10,degree9,all
11,peel1degree0,degree0
12,peel-2degree0,degree0
13,peel-1degree0,degree0
14,peel0degree0,degree0
15,peel2degree0,degree0
16,peel-3degree0,degree0
17,peel1degree-1,degree-1
18,peel-2degree-1,degree-1
19,peel0degree-1,degree-1
20,peel-1degree-1,degree-1
21,peel2degree-1,degree-1
22,peel3degree-1,degree-1
23,peel-1degree1,degree1
24,peel0degree1,degree1
25,peel-2degree1,degree1
26,peel-3degree1,degree1
27,peel1degree1,degree1
28,peel0degree6,degree6
29,peel0degree2,degree2
30,peel-2degree2,degree2
31,peel-2degree3,degree3
32,peel0degree3,degree3
33,peel0degree5,degree5
34,peel-2degree5,degree5
35,peel0degree7,degree7
36,peel0degree4,degree4
37,peel-2degree4,degree4
38,peel0degree8,degree8
39,peel0degree9,degree9
40,pagerank-2peel1degree0,peel1degree0
41,pagerank1peel1degree0,peel1degree0
42,pagerank0peel1degree0,peel1degree0
43,pagerank-1peel1degree0,peel1degree0
44,pagerank2peel1degree0,peel1degree0
45,pagerank-1peel-2degree0,peel-2degree0
46,pagerank2peel-2degree0,peel-2degree0
47,pagerank0peel-2degree0,peel-2degree0
48,pagerank0peel-1degree0,peel-1degree0
49,pagerank-1peel-1degree0,peel-1degree0
50,pagerank1peel-1degree0,peel-1degree0
51,pagerank-2peel-1degree0,peel-1degree0
52,pagerank3peel-1degree0,peel-1degree0
53,pagerank2peel-1degree0,peel-1degree0
54,pagerank-1peel0degree0,peel0degree0
55,pagerank0peel0degree0,peel0degree0
56,pagerank-2peel0degree0,peel0degree0
57,pagerank1peel0degree0,peel0degree0
58,pagerank2peel0degree0,peel0degree0
59,pagerank-2peel2degree0,peel2degree0
60,pagerank-1peel2degree0,peel2degree0
61,pagerank1peel2degree0,peel2degree0
62,pagerank0peel2degree0,peel2degree0
63,pagerank0peel-3degree0,peel-3degree0
64,pagerank-2peel1degree-1,peel1degree-1
65,pagerank0peel1degree-1,peel1degree-1
66,pagerank-1peel1degree-1,peel1degree-1
67,pagerank1peel1degree-1,peel1degree-1
68,pagerank2peel1degree-1,peel1degree-1
69,pagerank6peel1degree-1,peel1degree-1
70,pagerank-1peel-2degree-1,peel-2degree-1
71,pagerank1peel-2degree-1,peel-2degree-1
72,pagerank0peel-2degree-1,peel-2degree-1
73,pagerank4peel-2degree-1,peel-2degree-1
74,pagerank2peel-2degree-1,peel-2degree-1
75,pagerank3peel-2degree-1,peel-2degree-1
76,pagerank0peel0degree-1,peel0degree-1
77,pagerank-1peel0degree-1,peel0degree-1
78,pagerank2peel0degree-1,peel0degree-1
79,pagerank-2peel0degree-1,peel0degree-1
80,pagerank1peel0degree-1,peel0degree-1
81,pagerank4peel0degree-1,peel0degree-1
82,pagerank4peel-1degree-1,peel-1degree-1
83,pagerank-1peel-1degree-1,peel-1degree-1
84,pagerank0peel-1degree-1,peel-1degree-1
85,pagerank1peel-1degree-1,peel-1degree-1
86,pagerank2peel-1degree-1,peel-1degree-1
87,pagerank3peel-1degree-1,peel-1degree-1
88,pagerank-1peel2degree-1,peel2degree-1
89,pagerank2peel2degree-1,peel2degree-1
90,pagerank0peel2degree-1,peel2degree-1
91,pagerank-2peel2degree-1,peel2degree-1
92,pagerank1peel2degree-1,peel2degree-1
93,pagerank0peel3degree-1,peel3degree-1
94,pagerank0peel-1degree1,peel-1degree1
95,pagerank-1peel-1degree1,peel-1degree1
96,pagerank-2peel-1degree1,peel-1degree1
97,pagerank1peel-1degree1,peel-1degree1
98,pagerank-2peel0degree1,peel0degree1
99,pagerank0peel0degree1,peel0degree1
100,pagerank-1peel0degree1,peel0degree1
101,pagerank1peel0degree1,peel0degree1
102,pagerank0peel-2degree1,peel-2degree1
103,pagerank-1peel-3degree1,peel-3degree1
104,pagerank0peel-3degree1,peel-3degree1
105,pagerank-1peel1degree1,peel1degree1
106,pagerank0peel1degree1,peel1degree1
107,pagerank0peel0degree6,peel0degree6
108,pagerank-1peel0degree6,peel0degree6
109,pagerank0peel0degree2,peel0degree2
110,pagerank1peel0degree2,peel0degree2
111,pagerank-2peel0degree2,peel0degree2
112,pagerank-1peel0degree2,peel0degree2
113,pagerank-1peel-2degree2,peel-2degree2
114,pagerank1peel-2degree2,peel-2degree2
115,pagerank0peel-2degree3,peel-2degree3
116,pagerank0peel0degree3,peel0degree3
117,pagerank-1peel0degree3,peel0degree3
118,pagerank-2peel0degree5,peel0degree5
119,pagerank1peel0degree5,peel0degree5
120,pagerank0peel0degree5,peel0degree5
121,pagerank-1peel0degree5,peel0degree5
122,pagerank0peel-2degree5,peel-2degree5
123,pagerank0peel0degree7,peel0degree7
124,pagerank-1peel0degree7,peel0degree7
125,pagerank0peel0degree4,peel0degree4
126,pagerank-1peel0degree4,peel0degree4
127,pagerank0peel-2degree4,peel-2degree4
128,pagerank0peel0degree8,peel0degree8
129,pagerank0peel0degree9,peel0degree9
130,diversity-1pagerank-2peel1degree0,pagerank-2peel1degree0
131,diversity0pagerank-2peel1degree0,pagerank-2peel1degree0
132,diversity0pagerank1peel1degree0,pagerank1peel1degree0
133,diversity-2pagerank0peel1degree0,pagerank0peel1degree0
134,diversity0pagerank0peel1degree0,pagerank0peel1degree0
135,diversity-1pagerank0peel1degree0,pagerank0peel1degree0
136,diversity-1pagerank-1peel1degree0,pagerank-1peel1degree0
137,diversity0pagerank-1peel1degree0,pagerank-1peel1degree0
138,diversity-2pagerank-1peel1degree0,pagerank-1peel1degree0
139,diversity0pagerank2peel1degree0,pagerank2peel1degree0
140,diversity-1pagerank-1peel-2degree0,pagerank-1peel-2degree0
141,diversity0pagerank-1peel-2degree0,pagerank-1peel-2degree0
142,diversity-3pagerank-1peel-2degree0,pagerank-1peel-2degree0
143,diversity1pagerank-1peel-2degree0,pagerank-1peel-2degree0
144,diversity-1pagerank2peel-2degree0,pagerank2peel-2degree0
145,diversity0pagerank2peel-2degree0,pagerank2peel-2degree0
146,diversity-1pagerank0peel-2degree0,pagerank0peel-2degree0
147,diversity0pagerank0peel-2degree0,pagerank0peel-2degree0
148,diversity1pagerank0peel-1degree0,pagerank0peel-1degree0
149,diversity-1pagerank0peel-1degree0,pagerank0peel-1degree0
150,diversity0pagerank0peel-1degree0,pagerank0peel-1degree0
151,diversity-2pagerank0peel-1degree0,pagerank0peel-1degree0
152,diversity0pagerank-1peel-1degree0,pagerank-1peel-1degree0
153,diversity-1pagerank-1peel-1degree0,pagerank-1peel-1degree0
154,diversity-3pagerank-1peel-1degree0,pagerank-1peel-1degree0
155,diversity-2pagerank-1peel-1degree0,pagerank-1peel-1degree0
156,diversity1pagerank-1peel-1degree0,pagerank-1peel-1degree0
157,diversity-3pagerank1peel-1degree0,pagerank1peel-1degree0
158,diversity1pagerank1peel-1degree0,pagerank1peel-1degree0
159,diversity0pagerank1peel-1degree0,pagerank1peel-1degree0
160,diversity-1pagerank1peel-1degree0,pagerank1peel-1degree0
161,diversity0pagerank-2peel-1degree0,pagerank-2peel-1degree0
162,diversity1pagerank-2peel-1degree0,pagerank-2peel-1degree0
163,diversity-2pagerank-2peel-1degree0,pagerank-2peel-1degree0
164,diversity-1pagerank-2peel-1degree0,pagerank-2peel-1degree0
165,diversity0pagerank3peel-1degree0,pagerank3peel-1degree0
166,diversity0pagerank2peel-1degree0,pagerank2peel-1degree0
167,diversity-2pagerank-1peel0degree0,pagerank-1peel0degree0
168,diversity0pagerank-1peel0degree0,pagerank-1peel0degree0
169,diversity1pagerank-1peel0degree0,pagerank-1peel0degree0
170,diversity-1pagerank-1peel0degree0,pagerank-1peel0degree0
171,diversity0pagerank0peel0degree0,pagerank0peel0degree0
172,diversity-2pagerank0peel0degree0,pagerank0peel0degree0
173,diversity-1pagerank0peel0degree0,pagerank0peel0degree0
174,diversity1pagerank0peel0degree0,pagerank0peel0degree0
175,diversity1pagerank-2peel0degree0,pagerank-2peel0degree0
176,diversity-2pagerank-2peel0degree0,pagerank-2peel0degree0
177,diversity-1pagerank-2peel0degree0,pagerank-2peel0degree0
